,name,mjd,p,p_up,p_lo,log_F_nu,log_F_nu_up,log_F_nu_lo,log_nu_a,log_nu_a_up,log_nu_a_lo,z,lum_dist,disc_date,dt,log_F_nu_uplim,log_nu_a_uplim,p_uplim,Req,Eeq,Req_up,Eeq_up,Req_lo,Eeq_lo,Gamma,Eeq_uplim,Req_uplim
0,SDSSJ1241,57629.5,3.571882618919618,0.2076838148715452,0.3524999085264038,1.348284568266687,0.445148240924472,0.3657165010508713,8.743546984470985,0.36873045628976797,0.3841223527641251,0.0419,5.909864716230627e+26,53062.0,4567.5,True,False,True,1.2400192551729185e+18,1.5117984014831756e+51,1.2481118849863654e+17,1.8227642413894126e+50,1.2481118849863654e+17,1.8227642413894126e+50,1,True,True
1,SDSSJ1241,57959.0,3.884762031186496,0.08751749261952435,0.5168068364455061,1.1762755596950756,0.027492690238310802,0.03782882207731575,8.981877815793963,0.02064363266291913,0.1442868817734393,0.0419,5.909864716230627e+26,53062.0,4897.0,False,False,True,6.260370526845051e+17,1.0867537061366683e+51,4138165229474944.0,2.8398433948888885e+49,4138165229474944.0,2.8398433948888885e+49,1,True,True
2,SDSSJ1241,58754.0,3.962759997091701,0.03218402741485349,0.6382613012140137,0.9067175159995644,0.023966389189939208,0.03351584210606462,9.014307535834295,0.013530332965931535,0.18853248918278886,0.0419,5.909864716230627e+26,53062.0,5692.0,False,False,True,4.385355724909696e+17,5.540317432777435e+50,2499621155106624.0,7.095947519813148e+48,2499621155106624.0,7.095947519813148e+48,1,True,True
3,SDSSJ1241,59050.0,2.2861245166898847,0.22702732871955922,0.13153825432648558,1.2363030689197918,0.5084054423381126,0.5634228183086404,7.576585771377829,0.9026052651576357,0.8367334576387924,0.0419,5.909864716230627e+26,53062.0,5988.0,True,False,False,1.2404882295239217e+19,5.396037202894436e+50,1.5529430736739738e+18,8.748213052215849e+49,1.5529430736739738e+18,8.748213052215849e+49,1,True,True
4,SDSSJ1241,59500.0,3.646321459689507,0.2639450631984688,0.5770979070096716,1.4007928006612786,0.43337420459504217,0.6017981959006347,8.43722836313998,0.42056026290218895,0.3430022354866473,0.0419,5.909864716230627e+26,53062.0,6438.0,True,False,True,2.6920845228697416e+18,4.39297153053396e+51,2.4746497293653248e+17,6.683242402893315e+50,2.4746497293653248e+17,6.683242402893315e+50,1,True,True
5,SDSSJ0938,57459.0,3.1942505417312352,0.3718037524772271,0.4046432664035655,1.1219705156244708,0.6051582983422694,0.4559333066711384,8.652002326421321,0.5570537300045899,0.6101007778552514,0.101,1.483898232805616e+27,54092.0,3367.0,True,False,True,2.337741313459926e+18,3.0331119629395926e+51,4.380845597281193e+17,5.117323356740895e+50,4.380845597281193e+17,5.117323356740895e+50,1,True,True
6,SDSSJ0938,57912.0,3.0866630709119827,0.15778121819045632,0.13596518519398648,1.1987638509115746,0.5349091281619953,0.23830129103885167,8.436691559018055,0.3288549942920991,0.571719488145277,0.101,1.483898232805616e+27,54092.0,3820.0,True,False,False,4.3633398020173414e+18,5.3543762372716284e+51,3.767606984267653e+17,7.285247387285868e+50,3.767606984267653e+17,7.285247387285868e+50,1,True,True
7,SDSSJ0748,57458.0,2.8055523060055902,0.6319453161004329,0.47916699021094633,0.4965272962794949,0.9656939419930448,0.8393908594101118,8.147338984943868,1.0377004117555426,1.1568767007352543,0.0615,8.795977704544693e+26,52935.0,4523.0,True,True,True,2.328573957482061e+18,2.0943165583984506e+50,5.919347626238853e+17,7.408600969465305e+49,5.919347626238853e+17,7.408600969465305e+49,1,True,True
8,SDSSJ0748,57914.0,2.600990331407302,0.44512343513488206,0.2860965135307598,0.378761788201575,0.9216552232902895,0.7318628774042338,7.727497910422579,1.0401263195069879,1.119538958946304,0.0615,8.795977704544693e+26,52935.0,4979.0,True,False,False,4.965216527461972e+18,2.0799433282252623e+50,1.8527094101139517e+18,5.677842198086977e+49,1.8527094101139517e+18,5.677842198086977e+49,1,True,True
0,SDSSJ1241,57629.5,3.571882618919618,0.2076838148715452,0.3524999085264038,1.348284568266687,0.445148240924472,0.3657165010508713,8.743546984470985,0.36873045628976797,0.3841223527641251,0.0419,5.909864716230627e+26,53062.0,4567.5,True,False,True,1.1422240090645903e+18,4.852776143966477e+50,1.0053126643486413e+17,5.890114065669803e+49,1.0053126643486413e+17,5.890114065669803e+49,2,True,True
1,SDSSJ1241,57959.0,3.884762031186496,0.08751749261952435,0.5168068364455061,1.1762755596950756,0.027492690238310802,0.03782882207731575,8.981877815793963,0.02064363266291913,0.1442868817734393,0.0419,5.909864716230627e+26,53062.0,4897.0,False,False,True,5.228137984550076e+17,3.339221982825666e+50,2978461960830336.0,8.53861198294998e+48,2978461960830336.0,8.53861198294998e+48,2,True,True
2,SDSSJ1241,58754.0,3.962759997091701,0.03218402741485349,0.6382613012140137,0.9067175159995644,0.023966389189939208,0.03351584210606462,9.014307535834295,0.013530332965931535,0.18853248918278886,0.0419,5.909864716230627e+26,53062.0,5692.0,False,False,True,3.5741823493520525e+17,1.6934501769298594e+50,1601174916873600.0,2.3483093863012342e+48,1601174916873600.0,2.3483093863012342e+48,2,True,True
3,SDSSJ1241,59050.0,2.2861245166898847,0.22702732871955922,0.13153825432648558,1.2363030689197918,0.5084054423381126,0.5634228183086404,7.576585771377829,0.9026052651576357,0.8367334576387924,0.0419,5.909864716230627e+26,53062.0,5988.0,True,False,False,1.681246916003253e+19,1.8240942159800087e+50,3.1228715915521106e+18,4.4223630102119906e+49,3.1228715915521106e+18,4.4223630102119906e+49,2,True,True
4,SDSSJ1241,59500.0,3.646321459689507,0.2639450631984688,0.5770979070096716,1.4007928006612786,0.43337420459504217,0.6017981959006347,8.43722836313998,0.42056026290218895,0.3430022354866473,0.0419,5.909864716230627e+26,53062.0,6438.0,True,False,True,2.4382135368949873e+18,1.3265241333653834e+51,1.6372763089782016e+17,2.784925571174338e+50,1.6372763089782016e+17,2.784925571174338e+50,2,True,True
5,SDSSJ0938,57459.0,3.1942505417312352,0.3718037524772271,0.4046432664035655,1.1219705156244708,0.6051582983422694,0.4559333066711384,8.652002326421321,0.5570537300045899,0.6101007778552514,0.101,1.483898232805616e+27,54092.0,3367.0,True,False,True,2.390071556799882e+18,9.570333864410004e+50,3.700464859903652e+17,1.3083603813573028e+50,3.700464859903652e+17,1.3083603813573028e+50,2,True,True
6,SDSSJ0938,57912.0,3.0866630709119827,0.15778121819045632,0.13596518519398648,1.1987638509115746,0.5349091281619953,0.23830129103885167,8.436691559018055,0.3288549942920991,0.571719488145277,0.101,1.483898232805616e+27,54092.0,3820.0,True,False,False,4.463162715191858e+18,1.6438269518787677e+51,5.2157839776493875e+17,1.689998148103466e+50,5.2157839776493875e+17,1.689998148103466e+50,2,True,True
7,SDSSJ0748,57458.0,2.8055523060055902,0.6319453161004329,0.47916699021094633,0.4965272962794949,0.9656939419930448,0.8393908594101118,8.147338984943868,1.0377004117555426,1.1568767007352543,0.0615,8.795977704544693e+26,52935.0,4523.0,True,True,True,2.697451560240038e+18,7.109269995404368e+49,7.646368962094858e+17,2.1820514666727563e+49,7.646368962094858e+17,2.1820514666727563e+49,2,True,True
8,SDSSJ0748,57914.0,2.600990331407302,0.44512343513488206,0.2860965135307598,0.378761788201575,0.9216552232902895,0.7318628774042338,7.727497910422579,1.0401263195069879,1.119538958946304,0.0615,8.795977704544693e+26,52935.0,4979.0,True,False,False,5.914759196227144e+18,6.950782615609146e+49,1.54380685772574e+18,2.2998567835266468e+49,1.54380685772574e+18,2.2998567835266468e+49,2,True,True
0,SDSSJ1241,57629.5,3.571882618919618,0.2076838148715452,0.3524999085264038,1.348284568266687,0.445148240924472,0.3657165010508713,8.743546984470985,0.36873045628976797,0.3841223527641251,0.0419,5.909864716230627e+26,53062.0,4567.5,True,False,True,1.3318151107980288e+18,2.4297682914041286e+50,1.7258474275888256e+17,2.9315719598522584e+49,1.7258474275888256e+17,2.9315719598522584e+49,3,True,True
1,SDSSJ1241,57959.0,3.884762031186496,0.08751749261952435,0.5168068364455061,1.1762755596950756,0.027492690238310802,0.03782882207731575,8.981877815793963,0.02064363266291913,0.1442868817734393,0.0419,5.909864716230627e+26,53062.0,4897.0,False,False,True,6.169955647826478e+17,1.6782559071587308e+50,3543202303444608.0,4.419885496328013e+48,3543202303444608.0,4.419885496328013e+48,3,True,True
2,SDSSJ1241,58754.0,3.962759997091701,0.03218402741485349,0.6382613012140137,0.9067175159995644,0.023966389189939208,0.03351584210606462,9.014307535834295,0.013530332965931535,0.18853248918278886,0.0419,5.909864716230627e+26,53062.0,5692.0,False,False,True,4.22653348888377e+17,8.420534789229206e+49,1603691555069824.0,9.114807476093128e+47,1603691555069824.0,9.114807476093128e+47,3,True,True
3,SDSSJ1241,59050.0,2.2861245166898847,0.22702732871955922,0.13153825432648558,1.2363030689197918,0.5084054423381126,0.5634228183086404,7.576585771377829,0.9026052651576357,0.8367334576387924,0.0419,5.909864716230627e+26,53062.0,5988.0,True,False,False,2.0985227103735136e+19,1.0218945411975435e+50,4.246802085066924e+18,2.214831068931766e+49,4.246802085066924e+18,2.214831068931766e+49,3,True,True
4,SDSSJ1241,59500.0,3.646321459689507,0.2639450631984688,0.5770979070096716,1.4007928006612786,0.43337420459504217,0.6017981959006347,8.43722836313998,0.42056026290218895,0.3430022354866473,0.0419,5.909864716230627e+26,53062.0,6438.0,True,False,True,2.823146975603684e+18,6.757893828547972e+50,2.545310324684754e+17,9.29324981501112e+49,2.545310324684754e+17,9.29324981501112e+49,3,True,True
5,SDSSJ0938,57459.0,3.1942505417312352,0.3718037524772271,0.4046432664035655,1.1219705156244708,0.6051582983422694,0.4559333066711384,8.652002326421321,0.5570537300045899,0.6101007778552514,0.101,1.483898232805616e+27,54092.0,3367.0,True,False,True,3.067645138540686e+18,5.791189758250905e+50,4.528041257734364e+17,9.75248664584986e+49,4.528041257734364e+17,9.75248664584986e+49,3,True,True
6,SDSSJ0938,57912.0,3.0866630709119827,0.15778121819045632,0.13596518519398648,1.1987638509115746,0.5349091281619953,0.23830129103885167,8.436691559018055,0.3288549942920991,0.571719488145277,0.101,1.483898232805616e+27,54092.0,3820.0,True,False,False,5.47359021229081e+18,8.649880465570386e+50,7.721736196671089e+17,1.0062062524130737e+50,7.721736196671089e+17,1.0062062524130737e+50,3,True,True
7,SDSSJ0748,57458.0,2.8055523060055902,0.6319453161004329,0.47916699021094633,0.4965272962794949,0.9656939419930448,0.8393908594101118,8.147338984943868,1.0377004117555426,1.1568767007352543,0.0615,8.795977704544693e+26,52935.0,4523.0,True,True,True,3.2964792789529795e+18,3.3326339999416763e+49,9.62575013547522e+17,1.0463389386534327e+49,9.62575013547522e+17,1.0463389386534327e+49,3,True,True
8,SDSSJ0748,57914.0,2.600990331407302,0.44512343513488206,0.2860965135307598,0.378761788201575,0.9216552232902895,0.7318628774042338,7.727497910422579,1.0401263195069879,1.119538958946304,0.0615,8.795977704544693e+26,52935.0,4979.0,True,False,False,8.564069397200333e+18,4.3720919526025653e+49,1.918442074208217e+18,1.6058977764741347e+49,1.918442074208217e+18,1.6058977764741347e+49,3,True,True
0,SDSSJ1241,57629.5,3.571882618919618,0.2076838148715452,0.3524999085264038,1.348284568266687,0.445148240924472,0.3657165010508713,8.743546984470985,0.36873045628976797,0.3841223527641251,0.0419,5.909864716230627e+26,53062.0,4567.5,True,False,True,1.5902087516492078e+18,1.5480603607031257e+50,1.2842470032261043e+17,2.988390770074669e+49,1.2842470032261043e+17,2.988390770074669e+49,4,True,True
1,SDSSJ1241,57959.0,3.884762031186496,0.08751749261952435,0.5168068364455061,1.1762755596950756,0.027492690238310802,0.03782882207731575,8.981877815793963,0.02064363266291913,0.1442868817734393,0.0419,5.909864716230627e+26,53062.0,4897.0,False,False,True,7.020877193924794e+17,1.0105573188816398e+50,6130680529948544.0,2.420035929836893e+48,6130680529948544.0,2.420035929836893e+48,4,True,True
2,SDSSJ1241,58754.0,3.962759997091701,0.03218402741485349,0.6382613012140137,0.9067175159995644,0.023966389189939208,0.03351584210606462,9.014307535834295,0.013530332965931535,0.18853248918278886,0.0419,5.909864716230627e+26,53062.0,5692.0,False,False,True,4.7967388078188576e+17,5.177492079838699e+49,1946624398310080.0,6.101655944014452e+47,1946624398310080.0,6.101655944014452e+47,4,True,True
3,SDSSJ1241,59050.0,2.2861245166898847,0.22702732871955922,0.13153825432648558,1.2363030689197918,0.5084054423381126,0.5634228183086404,7.576585771377829,0.9026052651576357,0.8367334576387924,0.0419,5.909864716230627e+26,53062.0,5988.0,True,False,False,2.4796637810452492e+19,6.502067129797886e+49,6.174257108605481e+18,1.3359317357802675e+49,6.174257108605481e+18,1.3359317357802675e+49,4,True,True
4,SDSSJ1241,59500.0,3.646321459689507,0.2639450631984688,0.5770979070096716,1.4007928006612786,0.43337420459504217,0.6017981959006347,8.43722836313998,0.42056026290218895,0.3430022354866473,0.0419,5.909864716230627e+26,53062.0,6438.0,True,False,True,3.2606954555451515e+18,3.860651711136648e+50,2.9153033377631744e+17,4.5210095758779017e+49,2.9153033377631744e+17,4.5210095758779017e+49,4,True,True
5,SDSSJ0938,57459.0,3.1942505417312352,0.3718037524772271,0.4046432664035655,1.1219705156244708,0.6051582983422694,0.4559333066711384,8.652002326421321,0.5570537300045899,0.6101007778552514,0.101,1.483898232805616e+27,54092.0,3367.0,True,False,True,3.6284731673435244e+18,3.6075594059569463e+50,5.853292482900526e+17,4.793821239807143e+49,5.853292482900526e+17,4.793821239807143e+49,4,True,True
6,SDSSJ0938,57912.0,3.0866630709119827,0.15778121819045632,0.13596518519398648,1.1987638509115746,0.5349091281619953,0.23830129103885167,8.436691559018055,0.3288549942920991,0.571719488145277,0.101,1.483898232805616e+27,54092.0,3820.0,True,False,False,6.59349786870606e+18,5.636012646179381e+50,8.118977044673618e+17,9.402199401364125e+49,8.118977044673618e+17,9.402199401364125e+49,4,True,True
7,SDSSJ0748,57458.0,2.8055523060055902,0.6319453161004329,0.47916699021094633,0.4965272962794949,0.9656939419930448,0.8393908594101118,8.147338984943868,1.0377004117555426,1.1568767007352543,0.0615,8.795977704544693e+26,52935.0,4523.0,True,True,True,3.743228778207251e+18,2.144755136913066e+49,1.2067963386641946e+18,6.48785875586764e+48,1.2067963386641946e+18,6.48785875586764e+48,4,True,True
8,SDSSJ0748,57914.0,2.600990331407302,0.44512343513488206,0.2860965135307598,0.378761788201575,0.9216552232902895,0.7318628774042338,7.727497910422579,1.0401263195069879,1.119538958946304,0.0615,8.795977704544693e+26,52935.0,4979.0,True,False,False,9.53935566790755e+18,2.487014357301643e+49,2.8673435940993413e+18,6.445126251867968e+48,2.8673435940993413e+18,6.445126251867968e+48,4,True,True
