,name,alias,ra,dec,refs,discovery_date,z,hasPhot,hasSpec,json_path
0,AT2017gge,['AT2017gge'],245d08m44.85s,24d07m26.5s,"['2017TNSTR.895....1T', '2022MNRAS.517...76O']",2457968.8499884,0.0665,True,False,/home/noahf/radio-ecle/private_otter_data/AT2017gge.json
1,SDSS_J1247,['SDSS_J1247'],191d51m35.5785s,7d05m25.0809s,"['2024MNRAS.528.7076C', '2024MNRAS.535.1095C']",2006-05-21 00:00:00.000,0.104,True,False,/home/noahf/radio-ecle/private_otter_data/SDSS_J1247.json
2,AT2018bcb,['AT2018bcb'],340d55m43.065s,-16d59m08.49s,"['2018TNSTR.555....1B', '2020MNRAS.494.2538N']",2458235.62,0.1192,True,False,/home/noahf/radio-ecle/private_otter_data/AT2018bcb.json
3,SDSS_J1715,['SDSS_J1715'],258d46m04.3395s,56d47m15.8404s,"['2024MNRAS.528.7076C', '2024MNRAS.535.1095C']",2000-09-01 00:00:00.000,0.191,True,False,/home/noahf/radio-ecle/private_otter_data/SDSS_J1715.json
4,SDSS_J1207,['SDSS_J1207'],181d49m57.153s,24d11m55.8789s,"['2024MNRAS.528.7076C', '2024MNRAS.535.1095C']",2008-01-19 00:00:00.000,0.0503,True,False,/home/noahf/radio-ecle/private_otter_data/SDSS_J1207.json
5,AT2021qth,['AT2021qth'],302d54m43.71s,-21d09m36.83s,"['2021TNSTR2141....1F', '2023ApJ...955L...6Y']",2459382.9156134,0.0805,True,False,/home/noahf/radio-ecle/private_otter_data/AT2021qth.json
6,AT2021acak,['AT2021acak'],158d41m59.85s,15d29m22.42s,"['2021TNSTR3613....1T', '2023RAA....23b5012L']",2459510.12,0.136,True,False,/home/noahf/radio-ecle/private_otter_data/AT2021acak.json
7,SDSS_J1350,['SDSS_J1350'],207d30m22.419s,29d16m09.646s,"['2024MNRAS.528.7076C', '2024MNRAS.535.1095C']",2006-04-23 00:00:00.000,0.0777,True,False,/home/noahf/radio-ecle/private_otter_data/SDSS_J1350.json
8,SDSS_J0748,['SDSS_J0748'],117d05m10.002s,47d12m14.2648s,"['2024MNRAS.528.7076C', '2024MNRAS.535.1095C']",2004-02-20 00:00:00.000,0.0616,True,False,/home/noahf/radio-ecle/private_otter_data/SDSS_J0748.json
9,SDSS_J0952,['SDSS_J0952'],148d02m23.4435s,21d43m13.2979s,"['2024MNRAS.528.7076C', '2024MNRAS.535.1095C']",2005-12-30 00:00:00.000,0.0795,True,False,/home/noahf/radio-ecle/private_otter_data/SDSS_J0952.json
10,AT2020vdq,['AT2020vdq'],152d13m22.5s,42d42m00.4s,"['2020TNSTR3060....1N', '2023arXiv231003782S']",2459126.9916204,0.045,True,False,/home/noahf/radio-ecle/private_otter_data/AT2020vdq.json
11,AT2022fpx,['AT2022fpx'],232d45m55.47s,53d24m19.13s,"['2022TNSCR1771....1P', '2022TNSTR.836....1T']",2459670.01981,0.073,True,False,/home/noahf/radio-ecle/private_otter_data/AT2022fpx.json
12,AT2021dms,['AT2021dms'],50d21m01.035s,-11d08m45.71s,"['2021TNSTR.542....1F', '2024MNRAS.528.4775H']",2459266.645706,0.031102,True,False,/home/noahf/radio-ecle/private_otter_data/AT2021dms.json
13,SDSS_J1241,['SDSS_J1241'],190d23m33.8415s,44d26m39.2636s,"['2024MNRAS.528.7076C', '2024MNRAS.535.1095C']",2004-02-27 00:00:00.000,0.0419,True,False,/home/noahf/radio-ecle/private_otter_data/SDSS_J1241.json
14,SDSS_J0807,['SDSS_J0807'],121d51m49.7355s,14d05m37.0892s,"['2024MNRAS.528.7076C', '2024MNRAS.535.1095C']",2005-11-08 00:00:00.000,0.0738,True,False,/home/noahf/radio-ecle/private_otter_data/SDSS_J0807.json
15,SDSS_J1055,['SDSS_J1055'],163d51m36.2655s,56d37m13.101s,"['2024MNRAS.528.7076C', '2024MNRAS.535.1095C']",2002-04-09 00:00:00.000,0.074,True,False,/home/noahf/radio-ecle/private_otter_data/SDSS_J1055.json
16,SDSS_J0938,['SDSS_J0938'],144d30m24.564s,13d53m17.0423s,"['2024MNRAS.528.7076C', '2024MNRAS.535.1095C']",2006-12-23 00:00:00.000,0.101,True,False,/home/noahf/radio-ecle/private_otter_data/SDSS_J0938.json
17,SDSS_J1459,['SDSS_J1459'],224d51m31.014s,40d45m38.5508s,"['2024MNRAS.528.7076C', '2024MNRAS.535.1095C']",2004-05-21 00:00:00.000,0.151,True,False,/home/noahf/radio-ecle/private_otter_data/SDSS_J1459.json
18,2019qiz,['2019qiz'],71d39m28.2s,-10d13m34.9s,"['2019TNSCR1921....1S', '2019TNSTR1857....1F']",2458745.9998032,0.0151,True,False,/home/noahf/radio-ecle/private_otter_data/2019qiz.json
19,AT2022upj,['AT2022upj'],5d59m12.9s,-14d25m23.4s,"['2022TNSTR2690....1F', '2024MNRAS.535.1095C']",2459822.878,0.054,True,False,/home/noahf/radio-ecle/private_otter_data/AT2022upj.json
20,SDSS_J2220,['SDSS_J2220'],335d13m55.968s,-7d53m17.8464s,"['2024MNRAS.528.7076C', '2024MNRAS.535.1095C']",2001-10-21 00:00:00.000,0.149,True,False,/home/noahf/radio-ecle/private_otter_data/SDSS_J2220.json
21,SDSS_J1402,['SDSS_J1402'],210d31m11.34s,29d39m46.8759s,"['2024MNRAS.528.7076C', '2024MNRAS.535.1095C']",2007-03-19 00:00:00.000,0.196,True,False,/home/noahf/radio-ecle/private_otter_data/SDSS_J1402.json
22,SDSS_J1342,['SDSS_J1342'],205d41m06.225s,5d30m56.1451s,"['2024MNRAS.528.7076C', '2024MNRAS.535.1095C']",2002-04-09 00:00:00.000,0.0365,True,False,/home/noahf/radio-ecle/private_otter_data/SDSS_J1342.json
23,AT2018dyk,['AT2018dyk'],233d17m00.225s,44d32m08.2s,"['2018TNSCR1182....1H', '2018TNSTR.987....1F']",2458269.81,0.037,True,False,/home/noahf/radio-ecle/private_otter_data/AT2018dyk.json
