name,day,date_mjd,filter,filter_eff,filter_eff_units,flux,flux_err,flux_unit,upperlimit,reducer,source
SDSS_J0807,2017-10-06T11:18:25.425000,58032.47112760416,S,3.0,GHz,0.33515881049778595,0.0,mJy,True,VLASS 1.1,VLASS 1.1
SDSS_J0807,2017-10-06T11:18:25.425000,58032.47112760416,S,3.0,GHz,0.33515881049778595,0.0,mJy,True,VLASS 1.1,VLASS 1.1
SDSS_J0807,2017-10-06T11:18:25.425000,58032.47112760416,S,3.0,GHz,0.3346679677724469,0.0,mJy,True,VLASS 1.1,VLASS 1.1
SDSS_J0807,2020-08-18T17:12:15.750000,59079.716848958335,S,3.0,GHz,0.5191505766070648,0.1704779853187868,mJy,False,VLASS 2.1,VLASS 2.1
SDSS_J0807,2020-08-18T17:12:15.750000,59079.716848958335,S,3.0,GHz,0.5191505766070648,0.1704779853187868,mJy,False,VLASS 2.1,VLASS 2.1
SDSS_J0807,2020-08-18T17:12:15.750000,59079.716848958335,S,3.0,GHz,0.5191505766492492,0.1682962759999976,mJy,False,VLASS 2.1,VLASS 2.1
SDSS_J0807,2023-01-29T09:32:29.400001,59973.39756250001,S,3.0,GHz,0.3986427192959922,0.0,mJy,True,VLASS 3.1,VLASS 3.1
SDSS_J0807,2023-01-29T09:32:29.400001,59973.39756250001,S,3.0,GHz,0.3986427192959922,0.0,mJy,True,VLASS 3.1,VLASS 3.1
SDSS_J0807,2023-01-29T09:32:29.400001,59973.39756250001,S,3.0,GHz,0.3618062291259417,0.0,mJy,True,VLASS 3.1,VLASS 3.1
SDSS_J1402,2020-09-18T00:05:56.400001,59110.004125000014,S,3.0,GHz,0.44545205456879583,0.0,mJy,True,VLASS 2.1,VLASS 2.1
SDSS_J1402,2017-10-01T23:15:39.375000,58027.96920572917,S,3.0,GHz,2.739611118167345,0.8684969966514849,mJy,False,VLASS 1.1,VLASS 1.1
SDSS_J1402,2023-01-22T09:59:14.099999,59966.41613541666,S,3.0,GHz,0.3510801635039583,0.0,mJy,True,VLASS 3.1,VLASS 3.1
SDSS_J1342,2021-11-06T16:55:45.299998,59524.705385416644,S,3.0,GHz,0.4173088027912083,0.0,mJy,True,VLASS 2.2,VLASS 2.2
SDSS_J1342,2019-04-22T06:44:17.025000,58595.280752604165,S,3.0,GHz,0.4854198006190368,0.0,mJy,True,VLASS 1.2,VLASS 1.2
SDSS_J0952,2024-04-30T01:03:38.249999,60430.04419270832,S,3.0,GHz,0.3715215025879425,0.0,mJy,True,VLASS 3.2,VLASS 3.2
SDSS_J0952,2019-04-19T00:22:54.075000,58592.015903645835,S,3.0,GHz,0.4627251775854756,0.1299886970950964,mJy,False,VLASS 1.2,VLASS 1.2
SDSS_J0952,2021-12-01T09:23:36.150001,59549.39139062501,S,3.0,GHz,0.3595624949163876,0.0,mJy,True,VLASS 2.2,VLASS 2.2
2019qiz,2018-01-10T05:44:00.824999,58128.23889843749,S,3.0,GHz,0.354325091425878,0.0,mJy,True,VLASS 1.1,VLASS 1.1
2019qiz,2020-10-20T10:14:15.900000,59142.426572916665,S,3.0,GHz,0.540517723431009,0.0,mJy,True,VLASS 2.1,VLASS 2.1
2019qiz,2023-03-25T00:11:28.500000,60028.00796875,S,3.0,GHz,0.5035892386920132,0.0,mJy,True,VLASS 3.1,VLASS 3.1
SDSS_J0938,2020-10-03T18:33:37.349999,59125.77334895832,S,3.0,GHz,1.1143399301982475,0.1411600706554147,mJy,False,VLASS 2.1,VLASS 2.1
SDSS_J0938,2017-10-28T11:04:36.525000,58054.46153385417,S,3.0,GHz,10.551022341184517,1.071656259424869,mJy,False,VLASS 1.1,VLASS 1.1
SDSS_J0938,2023-01-17T10:47:41.549999,59961.449786458325,S,3.0,GHz,1.2832511454290247,0.1266538828700049,mJy,False,VLASS 3.1,VLASS 3.1
SDSS_J1241,2021-11-27T11:38:51.900001,59545.48532291668,S,3.0,GHz,1.3470251095854269,0.1148440023411685,mJy,False,VLASS 2.2,VLASS 2.2
SDSS_J1241,2019-04-15T07:43:56.325000,58588.3221796875,S,3.0,GHz,1.4773150245048283,0.1265603977295219,mJy,False,VLASS 1.2,VLASS 1.2
SDSS_J1207,2017-11-24T13:59:04.875000,58081.5826953125,S,3.0,GHz,0.330088413550797,0.0,mJy,True,VLASS 1.1,VLASS 1.1
SDSS_J1207,2023-02-12T07:58:49.799999,59987.33252083332,S,3.0,GHz,0.365057275550094,0.0,mJy,True,VLASS 3.1,VLASS 3.1
SDSS_J1207,2020-09-06T20:57:22.500000,59098.87317708333,S,3.0,GHz,0.42354332731071836,0.0,mJy,True,VLASS 2.1,VLASS 2.1
SDSS_J1350,2020-09-17T23:58:41.700000,59109.99909375,S,3.0,GHz,0.4186913833731942,0.0,mJy,True,VLASS 2.1,VLASS 2.1
SDSS_J1350,2017-10-01T23:16:15.375000,58027.96962239583,S,3.0,GHz,3.0934949969988055,0.9653954727168038,mJy,False,VLASS 1.1,VLASS 1.1
SDSS_J1350,2023-01-22T09:59:50.099998,59966.41655208331,S,3.0,GHz,0.3647374181745669,0.0,mJy,True,VLASS 3.1,VLASS 3.1
SDSS_J1247,2021-12-24T12:48:27.900001,59572.53365625001,S,3.0,GHz,0.5582852257441426,0.139844916625952,mJy,False,VLASS 2.2,VLASS 2.2
SDSS_J1247,2019-05-15T05:23:04.875000,58618.22436197917,S,3.0,GHz,0.39326353228066413,0.0,mJy,True,VLASS 1.2,VLASS 1.2
SDSS_J1459,2021-11-14T13:54:55.799998,59532.57981249998,S,3.0,GHz,0.3648068038667769,0.0,mJy,True,VLASS 2.2,VLASS 2.2
SDSS_J1459,2019-04-14T10:31:28.425000,58587.4385234375,S,3.0,GHz,0.48013600483552765,0.0,mJy,True,VLASS 1.2,VLASS 1.2
SDSS_J0748,2019-05-16T18:09:35.774999,58619.75666406249,S,3.0,GHz,0.4201785007402317,0.0,mJy,True,VLASS 1.2,VLASS 1.2
SDSS_J0748,2021-11-24T09:56:47.850000,59542.41444270833,S,3.0,GHz,0.3185967719373201,0.0,mJy,True,VLASS 2.2,VLASS 2.2
SDSS_J1715,2020-08-03T06:23:11.400000,59064.266104166665,S,3.0,GHz,0.4996334712549717,0.0,mJy,True,VLASS 2.1,VLASS 2.1
SDSS_J1715,2020-08-03T06:23:11.400000,59064.266104166665,S,3.0,GHz,0.4464136929691542,0.0,mJy,True,VLASS 2.1,VLASS 2.1
SDSS_J1715,2017-09-13T01:37:07.275001,58009.06744531251,S,3.0,GHz,3.0614344634193884,0.7387910806823493,mJy,False,VLASS 1.1,VLASS 1.1
SDSS_J1715,2023-02-09T15:50:27.600000,59984.66004166667,S,3.0,GHz,0.3469323828880941,0.0,mJy,True,VLASS 3.1,VLASS 3.1
SDSS_J1055,2020-08-21T22:49:25.500000,59082.95098958333,S,3.0,GHz,0.3186051706023591,0.0,mJy,True,VLASS 2.1,VLASS 2.1
SDSS_J1055,2020-08-21T22:49:25.500000,59082.95098958333,S,3.0,GHz,0.3556422333749031,0.0,mJy,True,VLASS 2.1,VLASS 2.1
SDSS_J1055,2023-02-07T12:25:37.200000,59982.517791666665,S,3.0,GHz,0.3319307097297561,0.0,mJy,True,VLASS 3.1,VLASS 3.1
SDSS_J1055,2017-09-26T12:10:06.825000,58022.5070234375,S,3.0,GHz,4.159996497157287,1.3742309671986581,mJy,False,VLASS 1.1,VLASS 1.1
SDSS_J2220,2020-07-10T12:02:52.349999,59040.50199479165,S,3.0,GHz,0.5244925458945562,0.0,mJy,True,VLASS 2.1,VLASS 2.1
SDSS_J2220,2017-11-28T02:25:10.425000,58085.10081510417,S,3.0,GHz,0.4283752592572908,0.0,mJy,True,VLASS 1.1,VLASS 1.1
SDSS_J2220,2023-01-15T23:17:42.900000,59959.97063541667,S,3.0,GHz,0.509407958068377,0.0,mJy,True,VLASS 3.1,VLASS 3.1
